id,pid,trial_num,cue_time,action,action_time,reward,reward_time,rt,spinspeed,mood_rating,pid_db
1,testing,1,1676409704.664,1,1676409710.775,0,1676409713.807,6.111000061035156,fast,-1,1
2,testing,2,1676409714.839,1,1676409715.405,0,1676409718.436,0.5659999847412109,fast,29,1
3,testing,3,1676409721.384,1,1676409722.351,0,1676409726.881,0.9670000076293945,slow,-1,1
4,testing,4,1676409727.93,0,1676409727.997,1,1676409732.511,0.06699991226196289,slow,-1,1
5,testing,5,1676409733.56,0,1676409734.026,0,1676409737.058,0.4660000801086426,fast,28,1
6,testing,1,1676409743.37,1,1676409796.052,1,1676409799.067,52.682000160217285,fast,-1,1
7,testing,1,1676409966.06,1,1676409967.025,1,1676409970.057,0.9650001525878906,fast,-1,2
8,testing,2,1676409971.09,0,1676409971.638,0,1676409974.654,0.5480000972747803,fast,30,2
9,testing,3,1676409978.802,1,1676409979.483,0,1676409984.015,0.6809999942779541,slow,-1,2
10,testing,4,1676409985.064,0,1676409985.763,1,1676409990.276,0.6990001201629639,slow,-1,2
11,testing,5,1676409991.325,1,1676409992.01,0,1676409995.024,0.684999942779541,fast,25,2
12,testing,1,1676410001.769,1,1676410002.352,0,1676410005.383,0.5829999446868896,fast,-1,2
13,testing,2,1676410006.467,1,1676410046.507,0,1676410049.539,40.03999996185303,fast,30,2
14,testing,3,1676410052.587,1,1676410052.669,1,1676410057.184,0.0820000171661377,slow,-1,2
15,testing,4,1676410058.233,1,1676410058.366,0,1676410062.88,0.13299989700317383,slow,-1,2
16,testing,5,1676410063.912,1,1676410063.979,1,1676410066.994,0.06700015068054199,fast,29,2
17,testing,6,1676410069.892,1,1676410070.275,1,1676410074.806,0.38300013542175293,slow,-1,2
18,testing,7,1676410075.838,0,1676410075.904,1,1676410078.936,0.06599998474121094,fast,-1,2
19,testing,8,1676410079.985,0,1676410080.118,0,1676410084.649,0.13300013542175293,slow,-1,2
20,testing,9,1676410085.699,0,1676410085.832,0,1676410090.362,0.13300013542175293,slow,20,2
21,testing,10,1676410093.426,0,1676410094.077,0,1676410097.107,0.6509997844696045,fast,-1,2
22,testing,11,1676410098.156,0,1676410099.056,0,1676410102.071,0.9000000953674316,fast,-1,2
23,testing,12,1676410103.12,0,1676410104.836,0,1676410109.366,1.7160000801086426,slow,-1,2
24,testing,13,1676410110.416,1,1676410110.532,1,1676410113.547,0.11600017547607422,fast,29,2
